search_query,search_page,search_position,title,description,brand,model,search_price,url
Peugeot Traveller elektrisk,1,25,Peugeot Traveller,L3 aut 9-sete Cruisekontroll/AutoFjernlys/Lane Assist,Peugeot,Traveller,539000,https://www.finn.no/mobility/item/457323175
Toyota Proace Verso Electric,1,1,Toyota Proace City Verso,"Electric,7 seter,Navi,Cruise,Rattvarme,Pdc,App",Toyota,Proace City Verso,299800,https://www.finn.no/mobility/item/457906888
Toyota Proace Verso Electric,1,2,Toyota Proace Verso,Electric Lang Executive Family,Toyota,Proace Verso,319129,https://www.finn.no/mobility/item/380539848
Toyota Proace Verso Electric,1,3,Toyota Proace Verso,Electric Cruise/Navi/Kamera/Dab+,Toyota,Proace Verso,409000,https://www.finn.no/mobility/item/456933969
Toyota Proace Verso Electric,1,4,Toyota Proace Verso,Family/8-seter -HUD| lav km| massasje,Toyota,Proace Verso,409900,https://www.finn.no/mobility/item/460631675
Toyota Proace Verso Electric,1,5,Toyota Proace Verso,Electric 8-Seter ACC/Oppv.ratt/Navi/Kam/Dab+/Krok,Toyota,Proace Verso,529000,https://www.finn.no/mobility/item/460240451
Toyota Proace Verso Electric,1,6,Toyota Proace Verso,Electric 8-Seter ACC/Oppv.ratt/Navi/Kam/Dab+,Toyota,Proace Verso,549000,https://www.finn.no/mobility/item/459852675
Toyota Proace Verso Electric,1,7,Toyota Proace Verso,Electric Lang Executive Shuttle,Toyota,Proace Verso,599900,https://www.finn.no/mobility/item/459405352
Toyota Proace Verso Electric,1,8,Toyota Proace Verso,Electric Lang 9-Seter/Cruise/Oppv.ratt/Navi/Kam/Dab+,Toyota,Proace Verso,619000,https://www.finn.no/mobility/item/461492193
Toyota Proace Verso Electric,1,9,Toyota Proace Verso,Electric Lang Executive Family,Toyota,Proace Verso,659000,https://www.finn.no/mobility/item/437148373
Toyota Proace Verso elektrisk,1,1,Toyota Proace Verso,"Lang 2,0 Shuttle 9seter/INNBYTTE KAMPANJE",Toyota,Proace Verso,15000,https://www.finn.no/mobility/item/463335323
Toyota Proace Verso elektrisk,1,2,Toyota Proace Verso,9-SETER 2.0D 177HK AUTO F1 LANG PANO SKINN HUD ++,Toyota,Proace Verso,249000,https://www.finn.no/mobility/item/435433086
Toyota Proace Verso elektrisk,1,3,Toyota Proace Verso,"Lang 1,6D 116 Executive Shuttle",Toyota,Proace Verso,249999,https://www.finn.no/mobility/item/460810569
Toyota Proace Verso elektrisk,1,4,Toyota Proace Verso,"Lang 1,6D 116 Executive Shuttle, Head-up Display",Toyota,Proace Verso,293434,https://www.finn.no/mobility/item/415484378
Toyota Proace Verso elektrisk,1,6,Toyota Proace Verso,9 Seter Med Kamera/Hud/Navi/Acc/Keyless/Pdc/BT/Dab/Krok,Toyota,Proace Verso,299900,https://www.finn.no/mobility/item/451671619
Toyota Proace Verso elektrisk,1,7,Toyota Proace,1.6D 116HK 9-SETER KROK NAVI DAB SETEVARME KLIMA+++,Toyota,Proace,319000,https://www.finn.no/mobility/item/455715327
Toyota Proace Verso elektrisk,1,9,Toyota Proace Verso,9-SETER DIESEL LANG 2XSKYVEDØRER NAVI GARANTI+++,Toyota,Proace Verso,355000,https://www.finn.no/mobility/item/446261300
